id,identificacion,obligacion,codigo,etapa,tipo,dias mora, valor en mora , valor capital , valor actual ,agencia,fecha asignacion,cod prof
100,668742401,1023456789,PPTX,NUEVO,CREDIT,31," $ 68,628,135.00 "," $ 43,162,059.00 "," $ 18,678,644.00 ",COBRANDOBPO,12/9/2020,
100,651598748,1023456790,PPTX,NUEVO,CREDIT,203," $ 52,962,446.00 "," $ 89,081,492.00 "," $ 4,364,931.00 ",COBRANDOBPO,12/9/2020,
100,588294768,1023456791,PPTX,NUEVO,CREDIT,163," $ 47,926,889.00 "," $ 65,037,426.00 "," $ 58,188,654.00 ",COBRANDOBPO,12/9/2020,
100,941103864,1023456792,PPTX,NUEVO,CREDIT,66," $ 60,272,778.00 "," $ 89,600,725.00 "," $ 61,034,657.00 ",COBRANDOBPO,12/9/2020,
100,668742401,1023456793,PPTX,NUEVO,CREDIT,150," $ 75,232,620.00 "," $ 44,237,493.00 "," $ 5,580,279.00 ",COBRANDOBPO,12/9/2020,
100,245633928,1023456794,PPTX,NUEVO,CREDIT,61," $ 87,218,411.00 "," $ 91,914,965.00 "," $ 56,456,950.00 ",COBRANDOBPO,12/9/2020,
100,380648464,1023456795,PPTX,NUEVO,CREDIT,176," $ 67,762,106.00 "," $ 91,609,531.00 "," $ 96,723,931.00 ",COBRANDOBPO,12/9/2020,
100,275243629,1023456796,PPTX,NUEVO,CREDIT,108," $ 12,346,374.00 "," $ 74,592,950.00 "," $ 86,929,049.00 ",COBRANDOBPO,12/9/2020,
100,663287536,1023456797,PPTX,NUEVO,CREDIT,174," $ 55,120,491.00 "," $ 80,060,475.00 "," $ 46,648,872.00 ",COBRANDOBPO,12/9/2020,
100,488616811,1023456798,PPTX,NUEVO,CREDIT,135," $ 78,622,438.00 "," $ 10,410,875.00 "," $ 69,863,380.00 ",COBRANDOBPO,12/9/2020,
101,668742401,1023456799,AABH,NUEVO,CREDIT,143," $ 6,225,653.00 "," $ 41,968,679.00 "," $ 16,835,998.00 ",COBRANDOBPO,12/9/2020,
101,997779256,1023456800,PPTX,NUEVO,CREDIT,174," $ 84,185,497.00 "," $ 42,872,140.00 "," $ 86,176,975.00 ",COBRANDOBPO,12/9/2020,
101,771913617,1023456801,PPTX,NUEVO,CREDIT,26," $ 71,655,667.00 "," $ 80,087,709.00 "," $ 95,279,098.00 ",COBRANDOBPO,12/9/2020,
101,739102393,1023456802,PPTX,NUEVO,CREDIT,77," $ 92,592,806.00 "," $ 90,573,515.00 "," $ 6,852,992.00 ",COBRANDOBPO,12/9/2020,
101,488451493,1023456803,PPTX,NUEVO,CREDIT,137," $ 93,162,459.00 "," $ 36,893,207.00 "," $ 84,033,081.00 ",COBRANDOBPO,12/9/2020,
101,821043982,1023456804,PPTX,NUEVO,CREDIT,35," $ 12,431,778.00 "," $ 62,409,038.00 "," $ 56,529,960.00 ",COBRANDOBPO,12/9/2020,
101,640861913,1023456805,PPTX,NUEVO,CREDIT,60," $ 50,176,969.00 "," $ 33,536,235.00 "," $ 82,925,988.00 ",COBRANDOBPO,12/9/2020,
101,193041208,1023456806,PPTX,NUEVO,CREDIT,19," $ 31,997,667.00 "," $ 30,715,437.00 "," $ 5,139,086.00 ",COBRANDOBPO,12/9/2020,
101,570463271,1023456807,PPTX,NUEVO,CREDIT,149," $ 63,475,777.00 "," $ 42,330,307.00 "," $ 4,438,905.00 ",COBRANDOBPO,12/9/2020,
101,636743100,1023456808,PPTX,NUEVO,CREDIT,136," $ 58,430,352.00 "," $ 29,023,476.00 "," $ 82,459,273.00 ",COBRANDOBPO,12/9/2020,
101,544272530,1023456809,PPTX,NUEVO,CREDIT,54," $ 14,173,922.00 "," $ 6,603,114.00 "," $ 33,128,772.00 ",COBRANDOBPO,12/9/2020,
102,668742401,1023456810,PPTX,NUEVO,CREDIT,14," $ 84,557,205.00 "," $ 71,831,746.00 "," $ 27,851,001.00 ",COBRANDOBPO,12/9/2020,
102,668742401,1023456811,PPTX,NUEVO,CREDIT,91," $ 27,159,189.00 "," $ 95,919,503.00 "," $ 13,564,002.00 ",COBRANDOBPO,12/9/2020,
102,186246671,1023456812,PPTX,NUEVO,CREDIT,85," $ 61,639,825.00 "," $ 64,957,422.00 "," $ 50,730,267.00 ",COBRANDOBPO,12/9/2020,
102,470780590,1023456813,PPTX,NUEVO,CREDIT,7," $ 40,720,959.00 "," $ 53,362,181.00 "," $ 69,119,047.00 ",COBRANDOBPO,12/9/2020,
102,274555987,1023456814,PPTX,NUEVO,CREDIT,34," $ 18,680,247.00 "," $ 11,205,084.00 "," $ 8,088,155.00 ",COBRANDOBPO,12/9/2020,
102,148898942,1023456815,PPTX,NUEVO,CREDIT,85," $ 97,707,595.00 "," $ 83,362,261.00 "," $ 87,814,737.00 ",COBRANDOBPO,12/9/2020,
102,561657794,1023456816,PPTX,NUEVO,CREDIT,198," $ 7,360,088.00 "," $ 31,007,792.00 "," $ 72,312,889.00 ",COBRANDOBPO,12/9/2020,
102,439609175,1023456817,PPTX,NUEVO,CREDIT,178," $ 15,681,054.00 "," $ 79,561,977.00 "," $ 64,505,475.00 ",COBRANDOBPO,12/9/2020,
102,880026074,1023456818,PPTX,NUEVO,CREDIT,148," $ 34,259,370.00 "," $ 25,305,873.00 "," $ 51,172,592.00 ",COBRANDOBPO,12/9/2020,
102,440929435,1023456819,PPTX,NUEVO,CREDIT,152," $ 18,997,503.00 "," $ 3,560,145.00 "," $ 75,656,793.00 ",COBRANDOBPO,12/9/2020,
102,876121573,1023456820,PPTX,NUEVO,CREDIT,190," $ 55,898,001.00 "," $ 97,255,915.00 "," $ 18,195,908.00 ",COBRANDOBPO,12/9/2020,
102,652642887,1023456821,PPTX,NUEVO,CREDIT,159," $ 16,329,871.00 "," $ 16,834,751.00 "," $ 27,098,805.00 ",COBRANDOBPO,12/9/2020,
102,345939687,1023456822,PPTX,NUEVO,CREDIT,130," $ 44,949,590.00 "," $ 60,999,889.00 "," $ 50,438,895.00 ",COBRANDOBPO,12/9/2020,
103,668742401,1023456823,PPTX,NUEVO,CREDIT,194," $ 12,918,441.00 "," $ 49,341,242.00 "," $ 34,126,713.00 ",COBRANDOBPO,12/9/2020,
103,739176262,1023456824,PPTX,NUEVO,CREDIT,208," $ 99,928,261.00 "," $ 86,632,114.00 "," $ 66,387,196.00 ",COBRANDOBPO,12/9/2020,
103,708027155,1023456825,PPTX,NUEVO,CREDIT,54," $ 84,135,334.00 "," $ 90,001,883.00 "," $ 82,665,470.00 ",COBRANDOBPO,12/9/2020,
103,199335385,1023456826,PPTX,NUEVO,CREDIT,4," $ 63,279,056.00 "," $ 23,290,682.00 "," $ 64,559,225.00 ",COBRANDOBPO,12/9/2020,
103,396134625,1023456827,PPTX,NUEVO,CREDIT,148," $ 9,671,636.00 "," $ 69,281,019.00 "," $ 89,097,687.00 ",COBRANDOBPO,12/9/2020,
103,314253325,1023456828,PPTX,NUEVO,CREDIT,10," $ 86,959,995.00 "," $ 48,670,059.00 "," $ 74,843,965.00 ",COBRANDOBPO,12/9/2020,
103,229752984,1023456829,PPTX,NUEVO,CREDIT,195," $ 41,212,299.00 "," $ 30,224,618.00 "," $ 97,451,650.00 ",COBRANDOBPO,12/9/2020,
103,817023051,1023456830,PPTX,NUEVO,CREDIT,120," $ 60,889,259.00 "," $ 929,578.00 "," $ 79,406,694.00 ",COBRANDOBPO,12/9/2020,
103,668742401,1023456831,PPTX,NUEVO,CREDIT,124," $ 13,285,866.00 "," $ 7,088,504.00 "," $ 45,380,751.00 ",COBRANDOBPO,12/9/2020,
103,880026074,1023456832,PPTX,NUEVO,CREDIT,87," $ 1,555,207.00 "," $ 49,164,275.00 "," $ 53,704,880.00 ",COBRANDOBPO,12/9/2020,
103,535413555,1023456833,PPTX,NUEVO,CREDIT,171," $ 53,363,621.00 "," $ 98,550,345.00 "," $ 70,971,166.00 ",COBRANDOBPO,12/9/2020,
103,492431452,1023456834,PPTX,NUEVO,CREDIT,150," $ 21,771,210.00 "," $ 59,556,682.00 "," $ 17,188,855.00 ",COBRANDOBPO,12/9/2020,
103,347566316,1023456835,PPTX,NUEVO,CREDIT,57," $ 25,526,564.00 "," $ 32,775,615.00 "," $ 18,249,852.00 ",COBRANDOBPO,12/9/2020,
103,598525450,1023456836,PPTX,NUEVO,CREDIT,109," $ 70,382,839.00 "," $ 36,351,200.00 "," $ 45,799,595.00 ",COBRANDOBPO,12/9/2020,
103,690971290,1023456837,PPTX,NUEVO,CREDIT,121," $ 96,576,629.00 "," $ 37,942,544.00 "," $ 45,101,322.00 ",COBRANDOBPO,12/9/2020,
103,916138792,1023456838,PPTX,NUEVO,CREDIT,87," $ 21,069,276.00 "," $ 49,998,212.00 "," $ 688,105.00 ",COBRANDOBPO,12/9/2020,
103,269847123,1023456839,PPTX,NUEVO,CREDIT,137," $ 18,989,963.00 "," $ 53,050,038.00 "," $ 96,094,619.00 ",COBRANDOBPO,12/9/2020,
103,916138792,1023456840,PPTX,NUEVO,CREDIT,27," $ 76,324,335.00 "," $ 50,282,057.00 "," $ 62,129,576.00 ",COBRANDOBPO,12/9/2020,
104,916138792,1023456841,PPTX,NUEVO,CREDIT,101," $ 58,037,652.00 "," $ 24,110,133.00 "," $ 33,287,237.00 ",COBRANDOBPO,12/9/2020,
104,916138792,1023456842,PPTX,NUEVO,CREDIT,163," $ 25,332,404.00 "," $ 14,023,724.00 "," $ 75,419,621.00 ",COBRANDOBPO,12/9/2020,
104,916138792,1023456843,PPTX,NUEVO,CREDIT,204," $ 19,142,086.00 "," $ 95,219,338.00 "," $ 22,725,959.00 ",COBRANDOBPO,12/9/2020,
104,916138792,1023456844,PPTX,NUEVO,CREDIT,8," $ 32,629,474.00 "," $ 22,031,355.00 "," $ 96,043,118.00 ",COBRANDOBPO,12/9/2020,
104,916138792,1023456845,PPTX,NUEVO,CREDIT,161," $ 86,468,084.00 "," $ 52,802,721.00 "," $ 55,604,999.00 ",COBRANDOBPO,12/9/2020,
